Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Jenkins Scenario1,Chrome 67.0.3396.99,,2018-07-26 15:04:57,2018-07-26 15:05:11,13.715s,PASSED
,,,,,,
Test Cases/Day 3 Training/Training/Scenario2 - Jenkins,Chrome 67.0.3396.99,,2018-07-26 15:04:57,2018-07-26 15:05:11,13.284s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:58,2018-07-26 15:05:01,2.971s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:05:01,2018-07-26 15:05:09,8.667s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:09,2018-07-26 15:05:09,0.123s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:09,2018-07-26 15:05:10,0.422s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:05:10,2018-07-26 15:05:10,0.120s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:10,2018-07-26 15:05:10,0.072s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:05:10,2018-07-26 15:05:11,0.608s,PASSED
