Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Scenario1,Chrome 67.0.3396.99,Scenario1,2018-07-24 17:49:56,2018-07-24 17:50:05,9.825s,PASSED
,,,,,,
Test Cases/Day1Training/Scenario1-Record Mode,Chrome 67.0.3396.99,Scenario1,2018-07-24 17:49:56,2018-07-24 17:50:05,9.419s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:49:56,2018-07-24 17:49:59,2.739s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:49:59,2018-07-24 17:50:00,1.289s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:00,2018-07-24 17:50:01,0.575s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:50:01,2018-07-24 17:50:01,0.113s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:50:01,2018-07-24 17:50:01,0.327s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:50:01,2018-07-24 17:50:02,0.912s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:02,2018-07-24 17:50:05,2.551s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:05,2018-07-24 17:50:05,0.617s,PASSED
